id,customer_id,store_id,subtotal,tax_paid,order_total
ORD037,CUS047,STORE006,99.29,29.4,460.22
ORD038,CUS003,STORE005,389.18,15.68,358.67
ORD039,CUS040,STORE009,245.26,9.6,62.94
ORD040,CUS033,STORE009,217.82,14.65,487.2
ORD041,CUS004,STORE005,168.25,7.9,485.58
ORD042,CUS008,STORE005,102.57,33.68,134.98
ORD043,CUS009,STORE003,94.91,7.65,242.81
ORD044,CUS030,STORE007,382.73,27.49,378.8
ORD045,CUS003,STORE003,450.12,5.21,187.53
ORD046,CUS049,STORE006,141.71,22.8,148.92
ORD047,CUS011,STORE002,356.32,47.97,467.77
ORD048,CUS032,STORE004,294.71,27.95,166.66
ORD049,CUS032,STORE006,414.31,10.02,213.98
ORD050,CUS037,STORE009,117.11,29.53,114.32
ORD051,CUS014,STORE006,222.19,19.46,411.84
ORD052,CUS048,STORE004,348.92,17.97,549.96
ORD053,CUS037,STORE003,336.27,10.35,310.6
ORD054,CUS004,STORE001,216.74,9.16,187.12
ORD055,CUS048,STORE004,356.53,45.75,198.11
ORD056,CUS021,STORE009,132.35,41.29,186.63
ORD057,CUS009,STORE003,106.9,34.91,108.36
ORD058,CUS036,STORE009,488.78,28.56,519.28
ORD059,CUS033,STORE009,243.66,37.54,411.62
ORD060,CUS049,STORE004,112.52,10.58,58.69
ORD061,CUS032,STORE002,214.91,26.75,191.91
ORD062,CUS015,STORE001,284.02,32.66,546.8
ORD063,CUS027,STORE007,260.84,20.27,308.75
ORD064,CUS040,STORE003,370.77,20.5,538.65
ORD065,CUS009,STORE005,271.94,36.84,69.57
ORD066,CUS032,STORE007,439.52,16.07,489.24
ORD067,CUS020,STORE006,140.68,48.0,443.5
ORD068,CUS048,STORE010,178.43,31.38,284.98
ORD069,CUS044,STORE008,186.74,47.44,85.36
ORD070,CUS003,STORE004,50.92,49.34,76.1
ORD071,CUS050,STORE003,161.66,18.13,449.66
ORD072,CUS026,STORE004,447.7,33.56,90.07
ORD073,CUS040,STORE006,127.33,38.22,119.15
ORD074,CUS048,STORE007,493.26,38.39,158.32
ORD075,CUS001,STORE002,213.84,43.13,251.85
ORD076,CUS013,STORE007,434.93,47.17,310.62
ORD077,CUS033,STORE010,411.98,47.5,228.37
ORD078,CUS012,STORE003,92.65,28.65,362.99
ORD079,CUS025,STORE004,96.64,13.19,137.02
ORD080,CUS020,STORE009,140.77,15.28,334.15
ORD081,CUS034,STORE005,82.15,35.9,427.18
ORD082,CUS045,STORE004,235.69,6.43,60.0
ORD083,CUS001,STORE001,126.09,6.31,291.43
ORD084,CUS038,STORE002,348.71,24.33,196.29
ORD085,CUS012,STORE007,137.77,29.71,515.66
ORD086,CUS042,STORE006,434.19,5.8,452.59
ORD087,CUS028,STORE008,90.03,48.09,64.99
ORD088,CUS011,STORE010,402.07,39.29,239.47
ORD089,CUS027,STORE005,353.6,27.7,453.38
ORD090,CUS017,STORE008,373.21,27.64,469.88
ORD091,CUS049,STORE002,98.15,23.09,299.8
ORD092,CUS035,STORE004,169.65,12.37,279.16
ORD093,CUS050,STORE001,468.81,25.13,308.67
ORD094,CUS042,STORE002,109.66,43.25,296.71
ORD095,CUS005,STORE004,265.8,8.22,270.5
ORD096,CUS005,STORE001,397.93,18.81,265.71
ORD097,CUS005,STORE004,187.11,48.06,313.24
ORD098,CUS004,STORE005,156.89,30.62,421.9
ORD099,CUS014,STORE006,70.44,26.28,112.61
ORD100,CUS029,STORE007,489.56,46.44,415.86
ORD101,CUS009,STORE004,236.55,13.82,176.69
ORD102,CUS032,STORE001,381.75,37.03,80.6
ORD103,CUS037,STORE002,396.56,10.08,432.44
ORD104,CUS016,STORE002,166.56,5.82,327.18
ORD105,CUS039,STORE005,451.84,37.54,157.03
ORD106,CUS007,STORE002,424.96,9.23,471.48
ORD107,CUS008,STORE009,378.69,43.56,56.08
ORD108,CUS043,STORE008,281.89,10.06,112.01
ORD109,CUS044,STORE002,130.27,24.3,449.38
ORD110,CUS006,STORE007,307.12,16.37,354.06
ORD111,CUS004,STORE005,140.12,48.09,297.54
ORD112,CUS012,STORE006,320.24,15.5,344.28
ORD113,CUS014,STORE003,100.6,16.03,431.97
ORD114,CUS041,STORE005,111.94,7.9,511.73
ORD115,CUS026,STORE006,271.89,20.43,321.04
ORD116,CUS009,STORE010,256.03,16.15,280.45
ORD117,CUS029,STORE001,292.64,8.48,467.13
ORD118,CUS026,STORE001,388.45,23.79,364.45
ORD119,CUS038,STORE002,322.33,11.17,423.37
ORD120,CUS015,STORE008,252.58,18.3,306.19
ORD121,CUS039,STORE001,470.6,25.63,428.85
ORD122,CUS002,STORE007,129.54,21.26,534.51
ORD123,CUS006,STORE002,476.67,31.16,114.43
ORD124,CUS036,STORE001,94.41,26.35,130.34
ORD125,CUS026,STORE005,178.38,10.9,504.37
ORD126,CUS017,STORE009,226.92,36.6,420.95
ORD127,CUS002,STORE009,409.2,44.74,218.39
ORD128,CUS009,STORE006,316.6,36.17,91.97
ORD129,CUS004,STORE005,83.32,22.01,280.54
ORD130,CUS010,STORE009,444.93,12.34,538.4
ORD131,CUS017,STORE005,56.8,16.7,331.34
ORD132,CUS013,STORE005,301.3,27.17,147.3
ORD133,CUS038,STORE006,106.77,44.67,293.96
ORD134,CUS019,STORE006,473.81,35.16,152.91
ORD135,CUS025,STORE007,231.93,32.82,256.45
ORD136,CUS038,STORE001,70.35,19.02,184.91
ORD137,CUS016,STORE002,144.33,19.86,292.58
ORD138,CUS005,STORE001,176.1,6.9,332.14
ORD139,CUS045,STORE008,113.24,25.62,353.34
ORD140,CUS044,STORE010,179.76,27.25,133.23
ORD141,CUS031,STORE009,62.8,43.22,312.39
ORD142,CUS010,STORE007,288.4,10.0,323.56
ORD143,CUS032,STORE007,71.72,11.04,335.87
ORD144,CUS019,STORE009,369.2,43.59,268.05
ORD145,CUS006,STORE003,233.95,34.63,343.71
ORD146,CUS041,STORE007,444.1,48.95,236.47
ORD147,CUS007,STORE006,311.38,42.1,88.03
ORD148,CUS046,STORE005,269.27,46.56,377.52
ORD149,CUS020,STORE006,339.39,35.69,424.59
ORD150,CUS047,STORE004,292.64,32.56,539.82
ORD151,CUS043,STORE002,321.34,17.32,72.39
ORD152,CUS022,STORE003,140.39,24.38,350.45
ORD153,CUS027,STORE008,161.11,31.03,418.19
ORD154,CUS030,STORE003,487.38,22.61,347.79
ORD155,CUS042,STORE005,192.64,25.08,397.49
ORD156,CUS018,STORE003,152.42,21.1,394.94
ORD157,CUS034,STORE004,356.97,25.81,107.8
ORD158,CUS017,STORE009,106.01,8.19,231.2
ORD159,CUS033,STORE009,443.85,46.96,201.51
ORD160,CUS019,STORE009,266.07,27.15,346.4
ORD161,CUS035,STORE006,67.44,22.53,178.17
ORD162,CUS033,STORE009,253.56,37.16,121.8
ORD163,CUS049,STORE010,86.96,15.89,60.9
ORD164,CUS008,STORE008,337.97,26.15,311.98
ORD165,CUS048,STORE001,366.95,43.0,547.35
ORD166,CUS010,STORE008,381.93,35.96,522.53
ORD167,CUS020,STORE010,282.85,25.64,203.11
ORD168,CUS003,STORE008,150.87,43.9,226.16
ORD169,CUS048,STORE006,481.16,27.44,479.6
ORD170,CUS028,STORE006,130.75,38.36,337.43
ORD171,CUS019,STORE002,495.23,9.79,261.65
ORD172,CUS043,STORE007,465.22,28.67,532.6
ORD173,CUS036,STORE004,425.71,18.97,542.38
ORD174,CUS013,STORE008,296.03,37.86,461.21
ORD175,CUS046,STORE001,168.02,36.32,187.75
ORD176,CUS047,STORE010,70.57,46.5,324.1
ORD177,CUS002,STORE010,350.02,6.7,527.67
ORD178,CUS033,STORE008,149.86,5.93,503.7
ORD179,CUS018,STORE001,357.01,9.65,391.76
ORD180,CUS021,STORE007,157.53,6.81,284.19
ORD181,CUS006,STORE002,214.89,46.56,214.76
ORD182,CUS025,STORE010,114.65,15.07,240.31
ORD183,CUS009,STORE003,431.63,35.48,213.32
ORD184,CUS032,STORE006,133.25,37.63,79.63
ORD185,CUS022,STORE003,52.94,14.48,261.82
ORD186,CUS031,STORE005,407.41,40.36,382.27
ORD187,CUS015,STORE010,380.68,39.24,267.65
ORD188,CUS038,STORE005,388.47,15.81,542.31
ORD189,CUS024,STORE010,126.99,33.75,532.84
ORD190,CUS039,STORE006,138.4,47.91,545.92
ORD191,CUS004,STORE003,423.56,36.46,280.67
ORD192,CUS008,STORE007,104.27,47.89,401.47
ORD193,CUS041,STORE003,208.67,18.42,115.85
ORD194,CUS008,STORE009,177.74,31.59,426.25
ORD195,CUS022,STORE005,187.56,46.11,481.7
ORD196,CUS010,STORE008,413.42,33.56,336.06
ORD197,CUS004,STORE009,71.22,21.07,403.16
ORD198,CUS040,STORE010,306.14,32.68,548.69
ORD199,CUS031,STORE005,286.28,20.73,342.02
ORD200,CUS030,STORE010,284.42,42.67,197.86
